%time,field.header.seq,field.header.stamp,field.header.frame_id,field.UTM_x,field.UTM_y,field.UTM_z,field.GPSSpd,field.GPSAcc
1548567083430795535,69,1548567083430410890,base_link,683202.22076,3110765.32974,58.5320854187,0.0815123692155,0.00520308129489
1548567083480924406,70,1548567083480590132,base_link,683202.219696,3110765.32999,58.5322341919,0.0721324905753,0.0116344429553
1548567083530845953,71,1548567083530486262,base_link,683202.218778,3110765.33018,58.5324897766,0.0625215545297,0.0118999024853
1548567083580644088,72,1548567083580468563,base_link,683202.217905,3110765.33037,58.5327377319,0.0649165734649,0.0040816324763
1548567083630670983,73,1548567083630410360,base_link,683202.217003,3110765.33054,58.5329437256,0.0681037828326,0.00144307501614
1548567083680600194,74,1548567083680404445,base_link,683202.216074,3110765.33073,58.5331459045,0.0678585246205,0.00520308129489
1548567083734506781,75,1548567083730402890,base_link,683202.215136,3110765.33099,58.5333900452,0.0757917314768,0.00520308129489
1548567083780790786,76,1548567083780445332,base_link,683202.214081,3110765.33134,58.533618927,0.0829423367977,0.00721537461504
1548567083830848419,77,1548567083830440988,base_link,683202.212973,3110765.33168,58.5337562561,0.0811473801732,0.00645362725481
1548567083884000354,78,1548567083880401334,base_link,683202.211926,3110765.33204,58.533908844,0.07773655653,0.0077711972408
1548567083930608614,79,1548567083930381714,base_link,683202.210929,3110765.33228,58.5341377258,0.0702181905508,0.00653380015865
1548567083980584182,80,1548567083980404380,base_link,683202.227519,3110765.32974,58.5348587036,0.045130610466,0.00714285718277
1548567084031240795,81,1548567084030690372,base_link,683202.226867,3110765.32992,58.5350074768,0.051887627691,0.00918367411941
1548567084084155559,82,1548567084080793461,base_link,683202.226227,3110765.33016,58.535118103,0.0488653369248,0.0102040814236
1548567084130626679,83,1548567084130371023,base_link,683202.225582,3110765.33039,58.5352935791,0.0501065477729,0.00912680756301
1548567084181281530,84,1548567084180662088,base_link,683202.224845,3110765.33059,58.5354156494,0.0597060061991,0.00645362725481
1548567084230872250,85,1548567084230487163,base_link,683202.224021,3110765.33084,58.5353240967,0.0640916600823,0.0
1548567084280572742,86,1548567084280365361,base_link,683202.223214,3110765.33113,58.5351715088,0.0591217689216,0.0100498544052
1548567084330684570,87,1548567084330388205,base_link,683202.222483,3110765.33148,58.5350532532,0.0566989406943,0.0040816324763
1548567084380597353,88,1548567084380401808,base_link,683202.221725,3110765.33183,58.5348739624,0.0642648562789,0.00721537461504
1548567084431813949,89,1548567084430473422,base_link,683202.220876,3110765.33219,58.5346221924,0.067672431469,0.0116344429553
1548567084480570200,90,1548567084480375400,base_link,683202.219981,3110765.33253,58.534362793,0.0689739137888,0.00612244894728
1548567084534545084,91,1548567084530474699,base_link,683202.219098,3110765.33289,58.5342025757,0.0685882270336,0.00228170189075
1548567084580584324,92,1548567084580405039,base_link,683202.218193,3110765.33336,58.5340309143,0.0777748599648,0.00841450039297
1548567084630968235,93,1548567084630527601,base_link,683202.217178,3110765.33397,58.5337638855,0.0924543812871,0.0045634037815
1548567084680554007,94,1548567084680364179,base_link,683202.216117,3110765.33473,58.533531189,0.0953301638365,0.00645362725481
1548567084731660404,95,1548567084730372815,base_link,683202.215027,3110765.33554,58.5334281921,0.0991252884269,0.00714285718277
1548567084780886230,96,1548567084780410641,base_link,683202.213839,3110765.33632,58.5333175659,0.105747148395,0.0133044952527
1548567084830724994,97,1548567084830403178,base_link,683202.212542,3110765.33714,58.5331802368,0.112095594406,0.00102040811908
1548567084884806787,98,1548567084880415549,base_link,683202.211222,3110765.33796,58.5331726074,0.110245257616,0.00306122447364
1548567084934735306,99,1548567084930650132,base_link,683202.209894,3110765.33883,58.5331993103,0.113440006971,0.00420725019649
1548567084980621600,100,1548567084980427272,base_link,683202.227445,3110765.33369,58.5362243652,0.0876509845257,0.00228170189075
1548567085030580718,101,1548567085030403845,base_link,683202.226612,3110765.33448,58.5362548828,0.0792418345809,0.0114085096866
1548567085080585266,102,1548567085080373435,base_link,683202.225819,3110765.33517,58.5364570618,0.0726188868284,0.0137281874195
1548567085130580284,103,1548567085130372125,base_link,683202.225037,3110765.33582,58.5367393494,0.074926301837,0.00684510590509
1548567085180586229,104,1548567085180403821,base_link,683202.224187,3110765.33652,58.5369300842,0.0854810103774,0.0040816324763
1548567085230629072,105,1548567085230413409,base_link,683202.223252,3110765.33729,58.5371284485,0.0902531370521,0.00962651148438
1548567085280602941,106,1548567085280388631,base_link,683202.222214,3110765.33815,58.5373840332,0.100961096585,0.0081632649526
1548567085330707281,107,1548567085330459558,base_link,683202.221106,3110765.33906,58.537612915,0.104523159564,0.00204081623815
1548567085380897021,108,1548567085380464231,base_link,683202.219964,3110765.33995,58.5377388,0.102545157075,0.0118999024853
1548567085430699104,109,1548567085430403428,base_link,683202.218883,3110765.34084,58.537776947,0.102135270834,0.00306122447364
1548567085480843470,110,1548567085480422633,base_link,683202.217853,3110765.34178,58.537853241,0.101565167308,0.0081632649526
1548567085530736089,111,1548567085530417115,base_link,683202.216851,3110765.3428,58.538028717,0.106682516634,0.00510204071179
1548567085580590253,112,1548567085580406465,base_link,683202.215727,3110765.34389,58.5380783081,0.118160612881,0.0
1548567085630628013,113,1548567085630408142,base_link,683202.214463,3110765.34511,58.5379981995,0.128996238112,0.00549506628886
1548567085681323401,114,1548567085681009612,base_link,683202.2132,3110765.34632,58.5381088257,0.12690167129,0.011037401855
1548567085731687707,115,1548567085730401207,base_link,683202.211885,3110765.34756,58.5382766724,0.133044615388,0.0119435712695
1548567085780555651,116,1548567085780395748,base_link,683202.210569,3110765.34882,58.5383720398,0.128731369972,0.00367913395166
1548567085830748076,117,1548567085830361293,base_link,683202.209275,3110765.35006,58.5384788513,0.126586049795,0.0102549754083
1548567085880750982,118,1548567085880407420,base_link,683202.228334,3110765.33727,58.5402755737,0.0882147923112,0.00577230006456
1548567085930823787,119,1548567085930411217,base_link,683202.227445,3110765.3382,58.5404319763,0.100189499557,0.0118999024853
1548567085980594526,120,1548567085980366515,base_link,683202.226461,3110765.33928,58.5406150818,0.111783191562,0.0118999024853
1548567086030724761,121,1548567086030515463,base_link,683202.225347,3110765.34048,58.5407905579,0.124972298741,0.00510204071179
1548567086080617039,122,1548567086080418758,base_link,683202.22413,3110765.34179,58.54088974,0.132905736566,0.00721537554637
1548567086130651720,123,1548567086130414859,base_link,683202.222881,3110765.34313,58.5410003662,0.131924286485,0.00620690034702
1548567086180693758,124,1548567086180486347,base_link,683202.221647,3110765.34451,58.5411834717,0.132413417101,0.00822679325938
1548567086230590382,125,1548567086230376446,base_link,683202.220457,3110765.34588,58.5414390564,0.131030738354,0.00432922504842
1548567086280606641,126,1548567086280422713,base_link,683202.219283,3110765.34731,58.5416793823,0.136655047536,0.0045634037815
1548567086330599027,127,1548567086330405717,base_link,683202.218023,3110765.34881,58.5419158936,0.144521191716,0.00432922504842
1548567086380866597,128,1548567086380485425,base_link,683202.216665,3110765.35037,58.5421714783,0.152253776789,0.00721537461504
1548567086434507575,129,1548567086430574307,base_link,683202.215225,3110765.35201,58.5424385071,0.161021634936,0.00520308129489
1548567086480703123,130,1548567086480520127,base_link,683202.213697,3110765.35371,58.5426940918,0.165969386697,0.00144307501614
1548567086530610821,131,1548567086530409243,base_link,683202.212202,3110765.35544,58.5429458618,0.162442520261,0.0040816324763
